,date,type,year,avg_price,size,nb_sold
129,07-Sep-17,conventional,2017,1.17,small,13009944.14
130,07-Feb-17,conventional,2017,1.21,small,12623188.5
131,25-Jun-17,conventional,2017,1.17,small,12901031.63
132,18-Jun-17,conventional,2017,1.18,small,12975373.48
133,06-Nov-17,conventional,2017,1.21,small,13490545.5
134,06-Apr-17,conventional,2017,1.24,small,13248334.78
135,28-May-17,conventional,2017,1.28,small,12841952.21
136,21-May-17,conventional,2017,1.26,small,12120948.7
137,14-May-17,conventional,2017,1.19,small,12807836.17
138,05-Jul-17,conventional,2017,1.09,small,17076650.82
139,30-Apr-17,conventional,2017,1.18,small,13316594.36
140,23-Apr-17,conventional,2017,1.18,small,12236713.41
141,16-Apr-17,conventional,2017,1.23,small,12311055.17
142,04-Sep-17,conventional,2017,1.21,small,12091315.22
143,04-Feb-17,conventional,2017,1.21,small,12245520.55
144,26-Mar-17,conventional,2017,1.24,small,11737559.6
145,19-Mar-17,conventional,2017,1.25,small,
146,03-Dec-17,conventional,2017,1.22,small,11228357.23
147,03-May-17,conventional,2017,1.13,small,11335275.58
148,26-Feb-17,conventional,2017,0.99,small,13173668.36
149,19-Feb-17,conventional,2017,0.99,small,11321732.4
150,02-Dec-17,conventional,2017,0.87,small,15051951.54
151,02-May-17,conventional,2017,0.77,small,22743616.17
152,29-Jan-17,conventional,2017,0.96,small,14034075.77
153,22-Jan-17,conventional,2017,0.94,small,14254150.46
154,15-Jan-17,conventional,2017,0.98,small,12936858.36
155,01-Aug-17,conventional,2017,0.99,small,11809727.7
156,01-Jan-17,conventional,2017,0.89,small,12707894.99
157,25-Mar-18,conventional,2018,1.03,small,14130799.1
158,18-Mar-18,conventional,2018,1.05,small,13707389.51
159,03-Nov-18,conventional,,1.09,small,14089091.05
160,03-Apr-18,conventional,2018,1.07,small,14439547.46
161,25-Feb-18,conventional,2018,1.06,small,13829857.87
162,18-Feb-18,conventional,2018,1.08,small,13262751.42
163,02-Nov-18,conventional,2018,0.97,small,15870677.7
164,02-Apr-18,conventional,2018,0.87,small,21620180.9
165,28-Jan-18,conventional,2018,1.09,small,14551799.5
166,21-Jan-18,conventional,2018,1.08,small,14218843.83
167,14-Jan-18,conventional,2018,1.2,small,12600918.24
168,01-Jul-18,conventional,2018,1.13,small,13730992.75
169,27-Dec-15,organic,2015,1.52,small,89709.92
170,20-Dec-15,organic,2015,1.53,small,93849.3
171,13-Dec-15,organic,2015,1.43,small,91837.92
172,12-Jun-15,organic,2015,1.52,small,
173,29-Nov-15,organic,2015,1.5,small,79215.51
174,22-Nov-15,organic,2015,1.49,small,95222.99
175,15-Nov-15,organic,2015,1.6,small,109494.19
176,11-Aug-15,organic,2015,1.54,small,167254.55
177,11-Jan-15,organic,2015,1.47,small,113380.29
178,25-Oct-15,organic,2015,1.62,small,109006.18
179,18-Oct-15,organic,2015,1.71,small,108697.64
180,10-Nov-15,organic,2015,1.69,small,93015.27
181,10-Apr-15,organic,2015,1.72,small,95393.58
182,27-Sep-15,organic,2015,1.75,small,114590.38
183,20-Sep-15,organic,2015,1.77,small,126318.13
184,13-Sep-15,organic,2015,1.8,small,133928.36
185,09-Jun-15,organic,2015,1.78,small,132181.77
186,30-Aug-15,organic,2015,1.66,small,150924.97
187,23-Aug-15,organic,2015,1.72,small,176723.74
188,16-Aug-15,organic,2015,1.75,small,150876.8
189,08-Sep-15,organic,2015,1,small,170184
190,08-Feb-15,organic,2015,1,small,164126
191,26-Jul-15,organic,2015,1,small,169940
192,19-Jul-15,organic,2015,1,small,159752
193,07-Dec-15,organic,2015,1,small,178871
194,07-May-15,organic,2015,1,small,205073
195,28-Jun-15,organic,2015,1.64,small,192182.13
196,21-Jun-15,organic,2015,1.66,small,202071.06
197,14-Jun-15,organic,2015,1.68,small,203021.68
198,06-Jul-15,organic,2015,1.67,small,200483.4
199,31-May-15,organic,2015,1.58,small,205250.19
200,24-May-15,organic,2015,1.59,small,234692.14
201,17-May-15,organic,2015,1.5,small,246278.31
202,05-Oct-15,organic,2015,1.42,small,251602.18
203,05-Mar-15,organic,2015,1.37,small,323883.65
204,26-Apr-15,organic,2015,1.45,small,321733.2
205,19-Apr-15,organic,2015,1.59,small,215283.51
206,04-Dec-15,organic,2015,1.53,small,202491.27
207,04-May-15,organic,2015,1.63,small,197746.89
208,29-Mar-15,organic,2015,1.6,small,193273.88
209,22-Mar-15,organic,2015,1.49,small,237139.46
210,15-Mar-15,organic,2015,1.5,small,235569.01
211,03-Aug-15,organic,2015,1.49,small,253078.17
212,03-Jan-15,organic,2015,1.4,small,361996.84
213,22-Feb-15,organic,2015,1.51,small,272594.88
214,15-Feb-15,organic,2015,1.58,small,207650.64
215,02-Aug-15,organic,2015,1.48,small,215657.99
216,02-Jan-15,organic,2015,1.36,small,302561.47
217,25-Jan-15,organic,2015,1.53,small,207494.87
218,18-Jan-15,organic,2015,1.42,small,254319.58
219,01-Nov-15,organic,2015,1.42,small,270966.74
220,01-Apr-15,organic,2015,1.46,small,233286.13
221,25-Dec-16,organic,2016,1.34,small,93875.25
222,18-Dec-16,organic,2016,1.43,small,97661.23
223,12-Nov-16,organic,2016,1.42,small,93027.82
224,12-Apr-16,organic,2016,1.56,small,106472.53
225,27-Nov-16,organic,2016,1.64,small,100240.54
226,20-Nov-16,organic,2016,1.63,small,110737.55
227,13-Nov-16,organic,2016,1.7,small,110018.79
228,11-Jun-16,organic,2016,1.68,small,117317.9
229,30-Oct-16,organic,2016,1.93,small,123815.8
230,23-Oct-16,organic,2016,1.63,small,131203.12
231,16-Oct-16,organic,2016,1.5,small,114303.56
232,10-Sep-16,organic,2016,1.52,small,127092.78
233,10-Feb-16,organic,2016,1.71,small,131467.24
234,25-Sep-16,organic,2016,1.69,small,119993.58
235,18-Sep-16,organic,2016,1.67,small,127014.67
236,09-Nov-16,organic,2016,1.52,small,144991.21
237,09-Apr-16,organic,2016,1.54,small,137842.79
238,28-Aug-16,organic,2016,1.49,small,135742.77
239,21-Aug-16,organic,2016,1.51,small,177591.96
240,14-Aug-16,organic,2016,1.48,small,186697.3
241,08-Jul-16,organic,2016,1.55,small,151179.99
242,31-Jul-16,organic,2016,1.58,small,156417.33
243,24-Jul-16,organic,2016,1.65,small,159151.31
244,17-Jul-16,organic,2016,1.63,small,152828.51
245,07-Oct-16,organic,2016,1.51,small,152994.7
246,07-Mar-16,organic,2016,1.47,small,159903
247,26-Jun-16,organic,2016,1.5,small,171054.38
248,19-Jun-16,organic,2016,1.45,small,166983.45
249,06-Dec-16,organic,2016,1.45,small,176286.36
250,06-May-16,organic,2016,1.43,small,152105.91
251,29-May-16,organic,2016,1.41,small,137449.41
252,22-May-16,organic,2016,1.36,small,166883.21
253,15-May-16,organic,2016,1.45,small,146037.3
254,05-Aug-16,organic,2016,1.3,small,132225.28
255,05-Jan-16,organic,2016,1.28,small,238992.91
256,24-Apr-16,organic,2016,1.25,small,225429.09
257,17-Apr-16,organic,2016,1.38,small,115155.65
258,04-Oct-16,organic,2016,1.26,small,108747.34
259,04-Mar-16,organic,2016,1.44,small,119283.9
260,27-Mar-16,organic,2016,1.44,small,112620.05
261,20-Mar-16,organic,2016,1.27,small,105069.07
262,13-Mar-16,organic,2016,1.29,small,132040.04
263,03-Jun-16,organic,2016,1.28,small,127184.88
264,28-Feb-16,organic,2016,1.44,small,110120.49
265,21-Feb-16,organic,2016,1.45,small,104135.94
266,14-Feb-16,organic,2016,1.37,small,102897.63
267,02-Jul-16,organic,2016,1.44,small,101408.79
268,31-Jan-16,organic,2016,1.43,small,108929.21
269,24-Jan-16,organic,2016,1.41,small,99316.69
270,17-Jan-16,organic,2016,1.44,small,115992.81
271,01-Oct-16,organic,2016,1.35,small,113867.63
272,01-Mar-16,organic,2016,1.43,small,124799.63
273,31-Dec-17,organic,2017,1.52,small,120545.76
274,24-Dec-17,organic,2017,1.64,small,103199.55
275,17-Dec-17,organic,2017,1.57,small,94905.86
276,12-Oct-17,organic,2017,1.54,small,94279.26
277,12-Mar-17,organic,2017,1.62,small,99317.88
278,26-Nov-17,organic,2017,1.72,small,77759.93
279,19-Nov-17,organic,2017,1.77,small,88110.88
280,11-Dec-17,organic,2017,1.81,small,93312.94
281,11-May-17,organic,2017,1.82,small,88073.16
282,29-Oct-17,organic,2017,1.84,small,88668.95
283,22-Oct-17,organic,2017,1.82,small,89301.75
284,15-Oct-17,organic,2017,1.85,small,103557.18
285,10-Aug-17,organic,2017,1.9,small,100744.58
286,10-Jan-17,organic,2017,1.95,small,100319.38
287,24-Sep-17,organic,2017,1.94,small,116338.61
288,17-Sep-17,organic,2017,2,small,140979.17
289,09-Oct-17,organic,2017,2.03,small,114942.21
290,09-Mar-17,organic,2017,2.06,small,113516
291,27-Aug-17,organic,2017,2.09,small,112812.39
292,20-Aug-17,organic,2017,1.96,small,108658.66
293,13-Aug-17,organic,2017,1.88,small,98007.24
294,08-Jun-17,organic,2017,1.83,small,112592.04
295,30-Jul-17,organic,2017,1.78,small,100332.24
296,23-Jul-17,organic,2017,1.76,small,113467.66
297,16-Jul-17,organic,2017,1.78,small,94267.55
298,07-Sep-17,organic,2017,1.71,small,109023.66
299,07-Feb-17,organic,2017,1.74,small,128156.1
300,25-Jun-17,organic,2017,1.77,small,123317.1
301,18-Jun-17,organic,2017,1.71,small,169434.58
302,06-Nov-17,organic,2017,1.56,small,160841.97
303,06-Apr-17,organic,2017,1.64,small,165665.93
304,28-May-17,organic,2017,1.69,small,163384.37
305,21-May-17,organic,2017,1.71,small,166985.41
306,14-May-17,organic,2017,1.55,small,164697.92
307,05-Jul-17,organic,2017,1.57,small,172722.76
308,30-Apr-17,organic,2017,1.68,small,199039.61
309,23-Apr-17,organic,2017,1.61,small,152604.41
310,16-Apr-17,organic,2017,1.49,small,176684.11
311,04-Sep-17,organic,2017,1.43,small,148803.12
312,04-Feb-17,organic,2017,1.42,small,183101.86
313,26-Mar-17,organic,2017,1.29,small,160491.66
314,19-Mar-17,organic,2017,1.5,small,172196.56
315,03-Dec-17,organic,2017,1.38,small,152896.45
316,03-May-17,organic,2017,1.16,small,184006.16
317,26-Feb-17,organic,2017,1.21,small,150448.17
318,19-Feb-17,organic,2017,1.31,small,250591.21
319,02-Dec-17,organic,2017,1.41,small,136636.34
320,02-May-17,organic,2017,1.36,small,136100.39
321,29-Jan-17,organic,2017,1.43,small,131808.29
322,22-Jan-17,organic,2017,1.37,small,115700.02
323,15-Jan-17,organic,2017,1.44,small,121132.79
324,01-Aug-17,organic,2017,1.43,small,117721.87
325,01-Jan-17,organic,2017,1.48,small,99820.77
326,25-Mar-18,organic,2018,1.55,small,121007.94
327,18-Mar-18,organic,2018,1.54,small,170801.85
328,03-Nov-18,organic,2018,1.52,small,129169.72
329,03-Apr-18,organic,2018,1.52,small,142345.03
330,25-Feb-18,organic,2018,1.57,small,122912.97
331,18-Feb-18,organic,2018,1.52,small,246515.35
332,02-Nov-18,organic,2018,1.56,small,98465.26
333,02-Apr-18,organic,2018,1.53,small,117922.52
334,28-Jan-18,organic,2018,1.61,small,118616.17
335,21-Jan-18,organic,2018,1.63,small,108705.28
336,14-Jan-18,organic,2018,1.59,small,145680.62
337,01-Jul-18,organic,2018,1.51,small,129541.43
338,27-Dec-15,conventional,2015,0.95,large,10197890.05
339,20-Dec-15,conventional,2015,0.98,large,9329861.85
340,13-Dec-15,conventional,2015,0.93,large,10805838.91
341,12-Jun-15,conventional,2015,0.89,large,12160838.62
342,29-Nov-15,conventional,2015,0.99,large,9003178.41
343,22-Nov-15,conventional,2015,0.96,large,10389879.59
344,15-Nov-15,conventional,2015,0.92,large,11699787.51
345,11-Aug-15,conventional,2015,0.97,large,12199657.4
346,11-Jan-15,conventional,2015,0.97,large,14229286.82
347,25-Oct-15,conventional,2015,1.04,large,11410478.34
348,18-Oct-15,conventional,2015,0.99,large,14082539.61
349,10-Nov-15,conventional,2015,1,large,13326573.45
350,10-Apr-15,conventional,2015,1.02,large,13775651.69
351,27-Sep-15,conventional,2015,1.03,large,13819912.63
352,20-Sep-15,conventional,2015,1.02,large,13846044.56
353,13-Sep-15,conventional,2015,1.03,large,14888077.69
354,09-Jun-15,conventional,2015,1.02,large,14245598.38
355,30-Aug-15,conventional,2015,1.07,large,11995960.83
356,23-Aug-15,conventional,2015,1.08,large,12551529.7
357,16-Aug-15,conventional,2015,1.05,large,12998327.25
358,08-Sep-15,conventional,2015,1.05,large,13926692.62
359,08-Feb-15,conventional,2015,1.09,large,12219014.12
360,26-Jul-15,conventional,2015,1.07,large,12009228.05
361,19-Jul-15,conventional,2015,1.07,large,12605457.17
362,07-Dec-15,conventional,2015,1.07,large,12403360.2
363,07-May-15,conventional,2015,1.04,large,14213650.06
364,28-Jun-15,conventional,2015,1.06,large,11505999.24
365,21-Jun-15,conventional,2015,1.02,large,13244466.6
366,14-Jun-15,conventional,2015,0.98,large,12821015.03
367,06-Jul-15,conventional,2015,1,large,12582265.21
368,31-May-15,conventional,2015,1.03,large,11599634.02
369,24-May-15,conventional,2015,1.04,large,12513821.19
370,17-May-15,conventional,2015,1.06,large,11003341.22
371,05-Oct-15,conventional,2015,1.02,large,13509064.65
372,05-Mar-15,conventional,2015,0.96,large,16602589.04
373,26-Apr-15,conventional,2015,1.07,large,10867403.08
374,19-Apr-15,conventional,2015,1.03,large,12277858.78
375,04-Dec-15,conventional,2015,1.02,large,11210544.11
376,04-May-15,conventional,2015,1.06,large,11526980.36
377,29-Mar-15,conventional,2015,1.04,large,11541041.35
378,22-Mar-15,conventional,2015,1.01,large,12659784.83
379,15-Mar-15,conventional,2015,1.04,large,10634070.76
380,03-Aug-15,conventional,2015,1.02,large,10973972.6
381,03-Jan-15,conventional,2015,0.97,large,13733124.48
382,22-Feb-15,conventional,2015,1.02,large,11354281.64
383,15-Feb-15,conventional,2015,1.03,large,9783489.59
384,02-Aug-15,conventional,2015,0.95,large,13381347.54
385,02-Jan-15,conventional,2015,0.89,large,18956479.74
386,25-Jan-15,conventional,2015,1.04,large,10734652.82
387,18-Jan-15,conventional,2015,1.03,large,11701947.8
388,01-Nov-15,conventional,2015,1.01,large,12134773.38
389,01-Apr-15,conventional,2015,0.95,large,13624083.05
390,25-Dec-16,conventional,2016,1,large,10282925.61
391,18-Dec-16,conventional,2016,0.96,large,10339168.2
392,12-Nov-16,conventional,2016,0.98,large,9967220.02
393,12-Apr-16,conventional,2016,1,large,9908982.97
394,27-Nov-16,conventional,2016,1.21,large,7337341.77
395,20-Nov-16,conventional,2016,1.27,large,8033510.82
396,13-Nov-16,conventional,2016,1.36,large,7759608.21
397,11-Jun-16,conventional,2016,1.44,large,7126936.31
398,30-Oct-16,conventional,2016,1.43,large,6852046.35
399,23-Oct-16,conventional,2016,1.34,large,8104522.26
400,16-Oct-16,conventional,2016,1.3,large,8855072.75
401,10-Sep-16,conventional,2016,1.27,large,9579338.98
402,10-Feb-16,conventional,2016,1.23,large,9123897.74
403,25-Sep-16,conventional,2016,1.22,large,9255913.78
404,18-Sep-16,conventional,2016,1.15,large,9481313.14
405,09-Nov-16,conventional,2016,1.08,large,10380438.09
406,09-Apr-16,conventional,2016,1.04,large,11083513.46
407,28-Aug-16,conventional,2016,1.09,large,10420973
408,21-Aug-16,conventional,2016,1.1,large,9906498.51
409,14-Aug-16,conventional,2016,1.12,large,10879341.61
410,08-Jul-16,conventional,2016,1.15,large,10731379.56
411,31-Jul-16,conventional,2016,1.23,large,10423957.83
412,24-Jul-16,conventional,2016,1.2,large,10795751.15
413,17-Jul-16,conventional,2016,1.15,large,10628872.6
414,07-Oct-16,conventional,2016,1.1,large,11677528
415,07-Mar-16,conventional,2016,1.06,large,13315901.42
416,26-Jun-16,conventional,2016,1.04,large,12029918.6
417,19-Jun-16,conventional,2016,1.02,large,12842698.33
418,06-Dec-16,conventional,2016,1.04,large,11533969.83
419,06-May-16,conventional,2016,0.97,large,13396651.73
420,29-May-16,conventional,2016,0.94,large,13829591.06
421,22-May-16,conventional,2016,0.93,large,12981224.42
422,15-May-16,conventional,2016,0.89,large,14437190.03
423,05-Aug-16,conventional,2016,0.82,large,17896391.6
424,05-Jan-16,conventional,2016,0.84,large,15899858.37
425,24-Apr-16,conventional,2016,0.87,large,14382184.8
426,17-Apr-16,conventional,2016,0.9,large,12896366.58
427,04-Oct-16,conventional,2016,0.9,large,11538132.36
428,04-Mar-16,conventional,2016,0.94,large,11512621.85
429,27-Mar-16,conventional,2016,0.94,large,12745266.73
430,20-Mar-16,conventional,2016,0.93,large,13727453.57
431,13-Mar-16,conventional,2016,0.93,large,13104887.66
432,03-Jun-16,conventional,2016,0.95,large,12196587.24
433,28-Feb-16,conventional,2016,0.91,large,13210854.56
434,21-Feb-16,conventional,2016,0.94,large,12003751.56
435,14-Feb-16,conventional,2016,0.88,large,13187973.29
436,02-Jul-16,conventional,2016,0.76,large,20470572.61
437,31-Jan-16,conventional,2016,0.93,large,13278053.61
438,24-Jan-16,conventional,2016,0.95,large,14054367.5
439,17-Jan-16,conventional,2016,0.94,large,13832256.04
440,01-Oct-16,conventional,2016,0.93,large,13226088.66
441,01-Mar-16,conventional,2016,0.86,large,16054083.86
442,31-Dec-17,conventional,2017,0.98,large,13197460.59
443,24-Dec-17,conventional,2017,1.18,large,8964247.34
444,17-Dec-17,conventional,2017,1.07,large,9934618.43
445,12-Oct-17,conventional,2017,1.03,large,11659897.51
446,12-Mar-17,conventional,2017,1.09,large,10905968
447,26-Nov-17,conventional,2017,1.24,large,7312239
448,19-Nov-17,conventional,2017,1.17,large,7847059
449,11-Dec-17,conventional,2017,1.15,large,9994648
450,11-May-17,conventional,2017,1.19,large,9774987.75
451,29-Oct-17,conventional,2017,1.29,large,9803569.58
452,22-Oct-17,conventional,2017,1.44,large,8761192.74
453,15-Oct-17,conventional,2017,1.58,large,8534404.17
454,10-Aug-17,conventional,2017,1.65,large,7609509.9
455,10-Jan-17,conventional,2017,1.64,large,8354516.32
456,24-Sep-17,conventional,2017,1.62,large,8295761.93
457,17-Sep-17,conventional,2017,1.57,large,8328241.87
458,09-Oct-17,conventional,2017,1.56,large,8373234.08
459,09-Mar-17,conventional,2017,1.57,large,8565265.61
460,27-Aug-17,conventional,2017,1.47,large,8587105.6
461,20-Aug-17,conventional,2017,1.41,large,8837219.28
462,13-Aug-17,conventional,2017,1.33,large,11154310.29
463,08-Jun-17,conventional,2017,1.33,large,10988313.58
464,30-Jul-17,conventional,2017,1.32,large,11088082.78
465,23-Jul-17,conventional,2017,1.31,large,11339580.43
466,16-Jul-17,conventional,2017,1.33,large,11202844.97
467,07-Sep-17,conventional,2017,1.17,large,11031218.25
468,07-Feb-17,conventional,2017,1.21,large,10988734.57
469,25-Jun-17,conventional,2017,1.17,large,10805961.74
470,18-Jun-17,conventional,2017,1.18,large,11199448.6
471,06-Nov-17,conventional,2017,1.21,large,10090861.46
472,06-Apr-17,conventional,2017,1.24,large,10157565.24
473,28-May-17,conventional,2017,1.28,large,10932970.72
474,21-May-17,conventional,2017,1.26,large,10213231.95
475,14-May-17,conventional,2017,1.19,large,9717257.8
476,05-Jul-17,conventional,2017,1.09,large,13549102.59
477,30-Apr-17,conventional,2017,1.18,large,11291149.13
478,23-Apr-17,conventional,2017,1.18,large,10224484.11
479,16-Apr-17,conventional,2017,1.23,large,10069354.29
480,04-Sep-17,conventional,2017,1.21,large,10821096.24
481,04-Feb-17,conventional,2017,1.21,large,9733584.68
482,26-Mar-17,conventional,2017,1.24,large,9664310.82
483,19-Mar-17,conventional,2017,1.25,large,9622711.73
484,03-Dec-17,conventional,2017,1.22,large,9575227.17
485,03-May-17,conventional,2017,1.13,large,10807889.59
486,26-Feb-17,conventional,2017,0.99,large,11398142.68
487,19-Feb-17,conventional,2017,0.99,large,10351148.2
488,02-Dec-17,conventional,2017,0.87,large,12184188.37
489,02-May-17,conventional,2017,0.77,large,20328161.55
490,29-Jan-17,conventional,2017,0.96,large,11683464.54
491,22-Jan-17,conventional,2017,0.94,large,14212881.66
492,15-Jan-17,conventional,2017,0.98,large,12625665.39
493,01-Aug-17,conventional,2017,0.99,large,13856934.7
494,01-Jan-17,conventional,2017,0.89,large,14201200.68
495,25-Mar-18,conventional,2018,1.03,large,12125711.42
496,18-Mar-18,conventional,2018,1.05,large,11061051.69
497,03-Nov-18,conventional,2018,1.09,large,10758039.45
498,03-Apr-18,conventional,2018,1.07,large,11289307.37
499,25-Feb-18,conventional,2018,1.06,large,10415463.59
